PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;43;28079008_43_2;2018;05;07;01.39;V;01.44;V;01.43;V;01.45;V;01.45;V;01.45;V;01.42;V;01.45;V;01.43;V;01.42;V;01.45;V;01.44;V;01.42;N;01.40;V;01.39;V;01.38;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;44;28079008_44_2;2018;05;07;00.02;V;00.04;V;00.08;V;00.04;V;00.05;V;00.04;V;00.05;V;00.09;V;00.12;V;00.11;V;00.10;V;00.10;V;00.08;N;00.06;V;00.03;V;00.03;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;7;28079011_7_8;2018;05;07;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00005;V;00015;V;00036;V;00028;V;00022;V;00016;V;00013;V;00017;V;00015;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2018;05;07;00041;V;00040;V;00026;V;00022;V;00020;V;00019;V;00043;V;00070;V;00075;V;00067;V;00066;V;00060;V;00057;V;00044;V;00035;V;00022;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2018;05;07;00046;V;00042;V;00028;V;00024;V;00022;V;00021;V;00050;V;00093;V;00131;V;00110;V;00100;V;00085;V;00077;V;00071;V;00058;V;00031;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2018;05;07;000.7;V;000.9;V;000.9;V;010.0;V;017.4;V;006.6;V;022.2;V;021.2;V;002.3;V;002.0;V;002.3;V;003.7;V;002.1;V;001.8;V;001.1;V;000.6;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;30;28079011_30_59;2018;05;07;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.3;V;000.4;V;000.6;V;000.4;V;000.3;V;000.4;V;000.3;V;000.3;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;35;28079011_35_59;2018;05;07;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;6;28079016_6_48;2018;05;07;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;7;28079016_7_8;2018;05;07;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00010;V;00013;V;00020;V;00018;V;00014;V;00005;V;00002;V;00003;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;8;28079016_8_8;2018;05;07;00027;V;00033;V;00024;V;00024;V;00019;V;00020;V;00033;V;00053;V;00049;V;00054;V;00057;V;00053;V;00034;V;00021;V;00021;V;00012;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;12;28079016_12_8;2018;05;07;00029;V;00034;V;00025;V;00026;V;00020;V;00022;V;00034;V;00069;V;00068;V;00084;V;00085;V;00074;V;00041;V;00025;V;00026;V;00015;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;14;28079016_14_6;2018;05;07;51.27;V;32.79;V;33.05;V;27.83;V;28.24;V;23.87;V;16.59;V;08.72;V;08.82;V;10.84;V;09.81;V;14.76;V;27.92;V;48.79;V;54.09;V;62.14;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;1;28079017_1_38;2018;05;07;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00008;V;00007;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2018;05;07;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00031;V;00079;V;00055;V;00060;V;00014;V;00024;V;00016;V;00010;V;00005;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2018;05;07;00027;V;00031;V;00023;V;00039;V;00040;V;00030;V;00051;V;00058;V;00055;V;00070;V;00057;V;00073;V;00068;V;00050;V;00031;V;00020;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2018;05;07;00029;V;00033;V;00024;V;00040;V;00043;V;00032;V;00098;V;00180;V;00139;V;00162;V;00079;V;00110;V;00092;V;00065;V;00038;V;00024;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2018;05;07;47.63;V;33.88;V;41.24;V;21.04;V;17.43;V;24.37;V;03.75;V;02.56;V;03.13;V;07.50;V;23.37;V;16.41;V;24.38;V;41.07;V;60.97;V;74.31;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2018;05;07;00005;V;00005;V;00005;V;00005;V;00006;V;00005;V;00005;V;00006;V;00007;V;00008;V;00008;V;00007;V;00007;V;00006;V;00006;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;6;28079018_6_48;2018;05;07;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.5;V;001.1;V;000.7;V;000.6;V;000.6;V;000.5;V;000.4;V;000.4;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;7;28079018_7_8;2018;05;07;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00005;V;00020;V;00051;V;00071;V;00068;V;00058;V;00034;V;00018;V;00009;V;00005;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;8;28079018_8_8;2018;05;07;00022;V;00027;V;00017;V;00023;V;00030;V;00027;V;00031;V;00044;V;00052;V;00068;V;00072;V;00079;V;00064;V;00050;V;00039;V;00020;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;10;28079018_10_47;2018;05;07;00009;V;00014;V;00009;V;00007;V;00020;V;00023;V;00016;V;00020;V;00015;V;00030;V;00037;V;00029;V;00033;V;00028;V;00016;V;00019;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;12;28079018_12_8;2018;05;07;00024;V;00029;V;00019;V;00025;V;00033;V;00030;V;00039;V;00074;V;00129;V;00178;V;00176;V;00168;V;00116;V;00078;V;00054;V;00027;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;14;28079018_14_6;2018;05;07;68.71;V;47.56;V;53.13;V;36.62;V;16.78;V;13.15;V;11.86;V;03.79;V;03.57;V;08.96;V;04.97;V;06.15;V;13.00;V;38.80;V;60.37;V;85.80;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;20;28079018_20_59;2018;05;07;000.5;V;001.0;V;000.9;V;001.0;V;001.6;V;001.7;V;001.4;V;002.3;V;002.5;V;003.7;V;003.3;V;003.1;V;003.3;V;002.5;V;002.3;V;001.5;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;30;28079018_30_59;2018;05;07;000.1;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.7;V;000.6;V;000.7;V;000.7;V;000.6;V;000.4;V;000.3;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;35;28079018_35_59;2018;05;07;000.1;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.5;V;000.5;V;000.4;V;000.5;V;000.4;V;000.3;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;1;28079024_1_38;2018;05;07;00003;V;00003;V;00004;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;6;28079024_6_48;2018;05;07;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;7;28079024_7_8;2018;05;07;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00007;V;00033;V;00066;V;00039;V;00011;V;00006;V;00005;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;8;28079024_8_8;2018;05;07;00015;V;00013;V;00007;V;00008;V;00024;V;00009;V;00008;V;00015;V;00015;V;00031;V;00056;V;00055;V;00036;V;00026;V;00020;V;00008;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
